n_estimators,learning_rate,minibatch_frac,col_sample,natural_gradient,max_depth,min_samples_split,min_samples_leaf,fold,inner_mean_f1
100,0.1,1.0,1.0,True,3,2,1,1,0.0
500,0.05,1.0,1.0,False,5,2,1,1,0.575595238095238
300,0.01,1.0,1.0,True,5,2,2,1,0.15
100,0.05,1.0,1.0,False,7,2,2,1,0.44146825396825395
100,0.05,1.0,1.0,False,7,5,2,1,0.515079365079365
500,0.1,1.0,1.0,False,5,2,2,1,0.6103174603174603
100,0.01,1.0,0.8,True,7,5,2,1,0.0
500,0.01,1.0,0.5,False,3,5,1,1,0.7711038961038962
300,0.05,1.0,1.0,False,5,5,1,1,0.575595238095238
500,0.1,1.0,0.8,False,3,5,2,1,0.655952380952381
300,0.1,1.0,0.5,True,7,2,2,1,0.0
100,0.05,1.0,0.8,False,3,5,1,1,0.7433261183261183
100,0.1,1.0,1.0,True,3,2,2,1,0.15
300,0.05,1.0,0.5,True,7,5,1,1,0.0
300,0.01,1.0,0.5,True,3,5,2,1,0.0
300,0.05,1.0,1.0,True,5,5,2,1,0.2928571428571428
100,0.01,1.0,0.8,False,5,2,1,1,0.7086038961038961
300,0.01,1.0,0.8,False,5,2,2,1,0.8068181818181819
100,0.1,1.0,0.8,True,7,2,2,1,0.0
100,0.01,1.0,0.5,False,5,5,1,1,0.7175324675324676
100,0.05,1.0,1.0,True,3,5,1,2,0.08333333333333333
500,0.05,1.0,1.0,True,7,2,1,2,0.0
500,0.05,1.0,0.5,False,5,2,1,2,0.5416666666666666
100,0.1,1.0,0.5,True,3,2,2,2,0.0
300,0.01,1.0,0.5,False,3,2,1,2,0.5416666666666666
100,0.1,1.0,0.8,True,7,5,1,2,0.0
500,0.1,1.0,0.8,True,3,5,2,2,0.0
100,0.05,1.0,1.0,True,3,5,2,2,0.14285714285714285
300,0.1,1.0,0.5,False,7,2,1,2,0.5416666666666666
300,0.05,1.0,1.0,True,3,2,2,2,0.0
300,0.1,1.0,1.0,False,7,2,2,2,0.5444444444444445
300,0.1,1.0,0.8,False,3,2,2,2,0.44166666666666665
500,0.05,1.0,0.8,False,3,2,1,2,0.41666666666666663
300,0.1,1.0,0.8,False,3,5,1,2,0.5416666666666666
100,0.1,1.0,1.0,True,5,5,2,2,0.0
100,0.1,1.0,1.0,True,3,2,2,2,0.0
100,0.1,1.0,1.0,False,3,5,2,2,0.5047619047619047
300,0.1,1.0,1.0,False,5,2,1,2,0.5761904761904761
500,0.05,1.0,0.8,False,5,5,2,2,0.5833333333333333
500,0.05,1.0,0.5,False,3,2,1,2,0.6041666666666666
300,0.1,1.0,0.8,False,7,5,1,3,0.7430555555555555
300,0.01,1.0,1.0,True,3,2,1,3,0.0
100,0.05,1.0,1.0,False,5,5,2,3,0.6666666666666666
100,0.1,1.0,0.5,False,5,2,2,3,0.8184523809523809
100,0.05,1.0,0.8,False,7,5,2,3,0.7708333333333333
500,0.01,1.0,0.8,True,5,2,1,3,0.0
300,0.05,1.0,0.8,True,3,2,2,3,0.0
100,0.05,1.0,0.8,False,3,5,2,3,0.7708333333333333
500,0.01,1.0,1.0,True,3,2,2,3,0.0
300,0.1,1.0,1.0,False,3,2,2,3,0.7142857142857142
100,0.01,1.0,0.5,True,7,5,2,3,0.0
500,0.05,1.0,0.5,False,7,2,2,3,0.8184523809523809
300,0.01,1.0,0.8,True,3,5,1,3,0.0
500,0.05,1.0,0.8,True,5,2,1,3,0.0
100,0.1,1.0,0.8,True,5,2,2,3,0.0
100,0.01,1.0,0.5,False,7,2,1,3,0.8184523809523809
500,0.1,1.0,0.8,False,7,5,2,3,0.7708333333333333
300,0.01,1.0,0.5,True,7,5,2,3,0.0
300,0.01,1.0,0.8,False,7,2,2,3,0.7499999999999999
300,0.1,1.0,0.5,True,3,5,1,3,0.0
300,0.1,1.0,0.8,False,3,2,2,4,0.8017857142857143
500,0.01,1.0,0.8,False,3,2,1,4,0.777056277056277
100,0.1,1.0,1.0,False,7,2,2,4,0.8285714285714286
100,0.1,1.0,1.0,False,7,2,2,4,0.8285714285714286
300,0.05,1.0,0.8,True,3,2,1,4,0.0
500,0.01,1.0,0.8,True,3,5,1,4,0.0
500,0.05,1.0,0.5,False,7,2,2,4,0.7208333333333333
300,0.01,1.0,1.0,True,3,5,2,4,0.2
300,0.1,1.0,0.5,False,5,5,1,4,0.7651515151515151
500,0.01,1.0,0.8,True,7,2,2,4,0.0
100,0.05,1.0,1.0,True,5,2,1,4,0.0
500,0.05,1.0,0.8,False,3,2,1,4,0.7026515151515151
500,0.1,1.0,0.8,False,5,2,1,4,0.7026515151515151
300,0.1,1.0,1.0,True,3,5,2,4,0.0
