best_threshold,f1,precision,recall,y_pred,fold
0.05,0.6666666666666666,0.5,1.0,[1 1 1 1 1 1 1 1 1 1],1
0.29,0.9090909090909091,0.8333333333333334,1.0,[0 0 0 0 1 1 1 1 1 1],2
0.7499999999999999,0.8,0.8,0.8,[1 0 0 0 0 1 0 1 1 1],3
0.05,0.6666666666666666,0.5,1.0,[1 1 1 1 1 1 1 1 1 1],4
0.20999999999999996,0.6666666666666666,0.5714285714285714,0.8,[0 1 1 1 0 1 0 1 1 1],5
0.20999999999999996,0.8333333333333334,0.7142857142857143,1.0,[0 0 1 0 1 1 1 1 1 1],6
0.05,0.6666666666666666,0.5,1.0,[1 1 1 1 1 1 1 1 1 1],7
0.24,0.7692307692307693,0.625,1.0,[0 1 0 1 1 1 1 1 1 1],8
0.09,0.7692307692307693,0.625,1.0,[0 0 1 1 1 1 1 1 1 1],9
0.05,0.6666666666666666,0.5,1.0,[1 1 1 1 1 1 1 1 1 1],10
0.05,0.6666666666666666,0.5,1.0,[1 1 1 1 1 1 1 1 1 1],11
0.16999999999999998,0.7142857142857143,0.5555555555555556,1.0,[1 0 1 1 1 1 1 1 1 1],12
0.13999999999999999,0.7142857142857143,0.5555555555555556,1.0,[1 1 0 1 1 1 1 1 1 1],13
0.05,0.7142857142857143,0.5555555555555556,1.0,[0 1 1 1 1 1 1 1 1 1],14
0.4099999999999999,0.9090909090909091,0.8333333333333334,1.0,[0 0 0 1 0 1 1 1 1 1],15
0.05,0.6666666666666666,0.5,1.0,[1 1 1 1 1 1 1 1 1 1],16
0.16999999999999998,0.9090909090909091,0.8333333333333334,1.0,[0 1 0 0 0 1 1 1 1 1],17
0.05,0.7142857142857143,0.5555555555555556,1.0,[1 1 1 1 0 1 1 1 1 1],18
0.6699999999999999,0.8,0.8,0.8,[0 1 0 0 0 1 0 1 1 1],19
0.20999999999999996,0.8333333333333334,0.7142857142857143,1.0,[1 0 0 1 0 1 1 1 1 1],20
0.38999999999999996,0.8333333333333334,0.7142857142857143,1.0,[1 1 0 0 0 1 1 1 1 1],21
0.26999999999999996,0.9090909090909091,0.8333333333333334,1.0,[0 0 0 0 1 1 1 1 1 1],22
0.30999999999999994,0.7142857142857143,0.5555555555555556,1.0,[1 1 1 0 1 1 1 1 1 1],23
0.36999999999999994,0.8,0.8,0.8,[0 0 0 0 1 1 0 1 1 1],24
